keywords,tokens
adaptive action,['action' 'adapt']
adaptive actions,['action' 'adapt']
adaptive agent based representation,['adapt' 'agent' 'base' 'represent']
adaptive and transformative capacities,['adapt' 'capac' 'transform']
adaptive approach,['adapt' 'approach']
adaptive approaches,['adapt' 'approach']
adaptive behavior,['adapt' 'behavior']
adaptive behaviors,['adapt' 'behavior']
adaptive capabilities,['adapt' 'capabl']
adaptive capacities,['adapt' 'capac']
adaptive capacity,['adapt' 'capac']
adaptive capacity programs,['adapt' 'capac' 'program']
adaptive capacity trade offs,['adapt' 'capac' 'off' 'trade']
adaptive capacity wheel,['adapt' 'capac' 'wheel']
adaptive change,['adapt']
adaptive co management,['adapt' 'manag']
adaptive comanagement,['adapt']
adaptive cycle,['adapt']
adaptive decision framework,['adapt' 'decis' 'framework']
adaptive delta management,['adapt' 'delta' 'manag']
adaptive demand management,['adapt' 'demand' 'manag']
adaptive expectation,['adapt' 'expect']
adaptive forest management,['adapt' 'forest' 'manag']
adaptive governance,['adapt' 'govern']
adaptive knowledge,['adapt']
adaptive land planning,['adapt' 'land' 'plan']
adaptive learning algorithm,['adapt' 'algorithm' 'learn']
adaptive legal measures,['adapt' 'legal' 'measur']
adaptive long term strategy,['adapt' 'long' 'strategi' 'term']
adaptive management,['adapt' 'manag']
adaptive management actions,['action' 'adapt' 'manag']
adaptive management efficiency,['adapt' 'effici' 'manag']
adaptive management solutions,['adapt' 'manag']
adaptive management strategies,['adapt' 'manag' 'strategi']
adaptive management system responses,['adapt' 'manag' 'respons']
adaptive measures,['adapt' 'measur']
adaptive natural resource management,['adapt' 'manag' 'resourc']
adaptive nature,['adapt']
adaptive pathways,['adapt' 'pathway']
adaptive planning,['adapt' 'plan']
adaptive plans,['adapt' 'plan']
adaptive policies,['adapt' 'polici']
adaptive policy,['adapt' 'polici']
adaptive policy pathways,['adapt' 'pathway' 'polici']
adaptive potential,['adapt']
adaptive practices,['adapt' 'practic']
adaptive renewal cycle,['adapt' 'renew']
adaptive resource management,['adapt' 'manag' 'resourc']
adaptive response,['adapt' 'respons']
adaptive responses,['adapt' 'respons']
adaptive risk management,['adapt' 'manag' 'risk']
adaptive skill training,['adapt' 'skill' 'train']
adaptive solutions,['adapt']
adaptive stochastic integrated assessment modeling,['adapt' 'assess' 'integr' 'model' 'stochast']
adaptive strategies,['adapt' 'strategi']
adaptive urban governance,['adapt' 'govern' 'urban']
adaptive water resources management,['adapt' 'manag' 'resourc' 'water']
adaptiveness,['adapt']
added value index,['ad' 'index' 'valu']
additional capacity,['addit' 'capac']
additional fertilizers,['addit' 'fertil']
adjusting cover cropping,['adjust' 'cover' 'crop']
adjusting planting dates,['adjust' 'date' 'plant']
administrative fragmentation,['fragment']
administrative levels,['level']
administrative practices,['practic']
administrative reform,['reform']
administrative scales,['scale']
adoption,['adopt']
adoption inertia,['adopt' 'inertia']
adoption potential,['adopt']
adp,['adp']
adriatic coast,['adriat' 'coast']
adriatic sea,['adriat' 'sea']
advanced biofuels,['biofuel']
advanced energy technologies,['technolog']
advanced technologies,['technolog']
adverse atmospheric events,['advers' 'atmospher' 'event']
adverse health outcomes,['advers' 'health']
advising,['advis']
aerosol effects,['aerosol' 'effect']
aerosol forcing,['aerosol']
aerosol loadings,['aerosol' 'load']
aerosol sulphur cycle,['aerosol' 'sulphur']
aerosols,['aerosol']
affordable,['afford']
affordable processes,['afford' 'process']
afram plains,['plain']
africa's least developed countries,['countri' 'develop']
african cities,['citi']
african climate,['climat']
african climate research capacity,['capac' 'climat' 'research']
african countries,['countri']
african easterly jet,['jet']
african food insecurity,['food']
african food systems,['food' 'system']
african pastoralist communities,['communiti' 'pastoralist']
african rainfall,['rainfal']
african road infrastructure,['infrastructur' 'road']
age,['age']
age and education of household head,['age' 'educ' 'head' 'household']
age of farmer,['age' 'farmer']
aged care,['age' 'care']
ageing populations,['age' 'popul']
agencies,['agenc']
agency,['agenc']
agency guidance,['agenc' 'guidanc']
agency leadership,['agenc' 'leadership']
agent based land use change model,['agent' 'base' 'land' 'model' 'use']
agent based model,['agent' 'base' 'model']
agent based modeling,['agent' 'base' 'model']
agent based modelling,['agent' 'base' 'model']
agent based models,['agent' 'base' 'model']
agent based urban development model,['agent' 'base' 'develop' 'model' 'urban']
aggregate analysis,['aggreg']
aggregate population,['aggreg' 'popul']
aggregation,['aggreg']
aggregation across sectors,['aggreg' 'sector']
aggregation and scaling,['aggreg' 'scale']
aggregation bias,['aggreg' 'bias']
aggregation levels,['aggreg' 'level']
aggressive mitigation scenario,['scenario']
agile management,['manag']
aging,['age']
aging population,['age' 'popul']
agmip protocols,['protocol']
agreement,['agreement']
agreements,['agreement']
agri food,['agri' 'food']
agri forest communities,['agri' 'communiti' 'forest']
agricultural activities,['activ']
agricultural adaptation,['adapt']
agricultural adaptations,['adapt']
agricultural and climate modeling,['climat' 'model']
agricultural and energy sectors,['sector']
agricultural and forest activities,['activ' 'forest']
agricultural and home insurances,['home']
agricultural area,['area']
agricultural areas,['area']
agricultural businesses,['busi']
agricultural calendar,['calendar']
agricultural commodities,['commod']
agricultural commodity price,['commod' 'price']
agricultural communities,['communiti']
agricultural crops,['crop']
agricultural decision making,['decis' 'make']
agricultural demand,['demand']
agricultural demands,['demand']
agricultural development,['develop']
agricultural development policies,['develop' 'polici']
agricultural drought risk,['drought' 'risk']
agricultural droughts,['drought']
agricultural ecological–tourism,['ecological-tour']
agricultural economic equilibrium model,['equilibrium' 'model']
agricultural efficiency,['effici']
agricultural environments,['environ']
agricultural extension agencies,['agenc']
agricultural extension services,['servic']
agricultural extent,['extent']
agricultural goods,['good']
agricultural greenhouse gas,['gas' 'greenhous']
agricultural growing regions,['grow' 'region']
agricultural growth,['growth']
agricultural inputs and outputs,['input' 'output']
agricultural intensification,['intensif']
agricultural interventions,['intervent']
agricultural land,['land']
agricultural land abandonment,['abandon' 'land']
agricultural land and water use,['land' 'use' 'water']
agricultural land system,['land']
agricultural land use,['land' 'use']
agricultural land uses,['land' 'use']
agricultural landscape,['landscap']
agricultural landscapes,['landscap']
agricultural livelihood,['livelihood']
agricultural management,['manag']
agricultural management practices,['manag' 'practic']
agricultural market,['market']
agricultural market systems,['market' 'system']
agricultural markets,['market']
agricultural models,['model']
agricultural organizations,['organ']
agricultural output,['output']
agricultural pasture,['pastur']
agricultural pests,['pest']
agricultural policies,['polici']
agricultural policy,['polici']
agricultural pollution,['pollut']
agricultural practice,['practic']
agricultural practice policy,['polici' 'practic']
agricultural practices,['practic']
agricultural producers,['produc']
agricultural production,['product']
agricultural production function,['function' 'product']
agricultural production models,['model' 'product']
agricultural production systems,['product' 'system']
agricultural production systems simulator apsim,['apsim' 'product' 'simul' 'system']
agricultural productivity,['product']
agricultural productivity gains,['gain' 'product']
agricultural regions,['region']
agricultural research,['research']
agricultural research for development,['develop' 'research']
agricultural research priorities,['research']
agricultural resilience,['resili']
agricultural resource availability index,['avail' 'index' 'resourc']
agricultural response,['respons']
agricultural responses,['respons']
agricultural risk management,['manag' 'risk']
agricultural risks,['risk']
agricultural scientists,['scientist']
agricultural sector,['sector']
agricultural services,['servic']
agricultural suitability,['suitabl']
agricultural supply,['suppli']
agricultural systems vulnerability index,['index' 'system' 'vulner']
agricultural technological change,['technolog']
agricultural technological progress,['progress' 'technolog']
agricultural technology,['technolog']
agricultural trade,['trade']
agricultural virtual water contents,['content' 'virtual' 'water']
agricultural waste burning,['burn' 'wast']
agricultural water,['water']
agricultural water charging,['charg' 'water']
agricultural water consumption,['consumpt' 'water']
agricultural water demands,['demand' 'water']
agricultural water governance,['govern' 'water']
agricultural water reforms,['reform' 'water']
agricultural water supply,['suppli' 'water']
agricultural watershed,['watersh']
agricultural yield,['yield']
agricultural yields,['yield']
agriculturally based countries,['base' 'countri']
agriculture and fisheries,['fisheri']
agriculture and food security,['food' 'secur']
agriculture catastrophe management system,['manag']
agriculture climate predictions,['climat' 'predict']
agriculture ecological zones,['ecolog' 'zone']
agriculture intensification,['intensif']
agriculture practices,['practic']
agrienvironment schemes,['scheme']
agrifood markets,['agrifood' 'market']
agro adaptation,['adapt' 'agro']
agro biodiversity,['agro' 'biodivers']
agro climate,['agro' 'climat']
agro climate ensembles,['agro' 'climat' 'ensembl']
agro climate indicators,['agro' 'climat']
agro climatic calendar,['agro' 'calendar' 'climat']
agro climatic conditions,['agro' 'climat' 'condit']
agro climatic indicator,['agro' 'climat']
agro climatic resources,['agro' 'climat' 'resourc']
agro climatic zones,['agro' 'climat' 'zone']
agro ecological,['agro' 'ecolog']
agro ecological conditions,['agro' 'condit' 'ecolog']
agro ecological systems,['agro' 'ecolog' 'system']
agro ecological zones,['agro' 'ecolog' 'zone']
agro ecological zoning,['agro' 'ecolog' 'zone']
agro ecology,['agro' 'ecolog']
agro economic modelers,['agro' 'model']
agro economic models,['agro' 'model']
agro economic simulation,['agro' 'simul']
agro ecosystem model,['agro' 'ecosystem' 'model']
agro ecosystem services,['agro' 'ecosystem' 'servic']
agro ecosystems,['agro' 'ecosystem']
agro environmental land use systems,['agro' 'environment' 'land' 'system' 'use']
agro environmental management,['agro' 'environment' 'manag']
agro hydrological model swat,['agro' 'model' 'swat']
agro ibis,['agro' 'ibi']
agro meteorological metrics,['agro' 'meteorolog' 'metric']
agro pastoral systems,['agro' 'pastor' 'system']
agro pastoralists,['agro' 'pastoralist']
agroclimate impact modelling,['impact' 'model']
agroclimatic conditions,['condit']
agroclimatic resources,['resourc']
agroecological settings,['agroecolog' 'set']
agroecological systems,['agroecolog' 'system']
agroecological zones,['agroecolog' 'zone']
agroecological zoning,['agroecolog' 'zone']
agroecology,['agroecolog']
agroecosystem,['agroecosystem']
agroecosystems,['agroecosystem']
agroforestry,['agroforestri']
agroforestry practices,['agroforestri' 'practic']
agrometeorological data,['agrometeorolog' 'data']
agrometeorological services,['agrometeorolog' 'servic']
agrometeorology,['agrometeorolog']
agromo project,['agromo' 'project']
agronomic,['agronom']
agronomic impacts,['agronom' 'impact']
agronomic interventions,['agronom' 'intervent']
agronomic management,['agronom' 'manag']
agronomic measures,['agronom' 'measur']
agronomic practices,['agronom' 'practic']
agronomic research,['agronom' 'research']
agronomic strategies,['agronom' 'strategi']
agronomic water saving irrigation,['agronom' 'irrig' 'save' 'water']
agronomical management,['agronom' 'manag']
agronomy,['agronomi']
ahp,['ahp']
ai specific hardware,['specif']
aids services,['aid' 'servic']
aiguamolls de l'emporda,"['aiguamol' ""l'emporda""]"
air,['air']
air and sea surface temperature,['air' 'sea']
air circulation,['air']
air conditioning,['air' 'condit']
air conditioning heat rejection,['air' 'condit' 'heat' 'reject']
air conditioning load,['air' 'condit' 'load']
air filtration,['air']
air pollutant emissions,['air' 'pollut']
air pollution,['air' 'pollut']
air pollution control,['air' 'control' 'pollut']
air pollution control legislation,['air' 'control' 'legisl' 'pollut']
air pollution exposure,['air' 'exposur' 'pollut']
air pollution reduction,['air' 'pollut' 'reduct']
air quality,['air']
air quality alert systems,['air' 'alert' 'system']
air quality carbon synergies,['air' 'carbon' 'synergi']
air quality carbon water interdependencies,['air' 'carbon' 'interdepend' 'water']
air quality co benefits,['air' 'benefit']
air quality modeling,['air' 'model']
air quality modeling system,['air' 'model']
air quality modelling,['air' 'model']
air quality policies,['air' 'polici']
air quality projections,['air' 'project']
air quality water trade offs,['air' 'off' 'trade' 'water']
air sea interaction,['air' 'interact' 'sea']
air temperature,['air']
air temperatures,['air']
airport performance,['airport' 'perform']
airtightness,['airtight']
ajmer urban fringe,['ajmer' 'fring' 'urban']
alaska native communities,['communiti']
alaska north slope oil resources,['north' 'oil' 'resourc' 'slope']
alaskan communities,['communiti']
albedo,['albedo']
aleatory uncertainty,['aleatori']
algarve region,['region']
algorithm,['algorithm']
algorithms,['algorithm']
alignment,['align']
alignment of scientific and indigenous knowledge,['align' 'scientif']
allegheny basin,['allegheni' 'basin']
allen stott kettleborough method,['method' 'stott']
allocation,['alloc']
allometric scaling laws,['law' 'scale']
allowable anthropogenic carbon emissions,['allow' 'carbon']
allyship,['allyship']
alpine lech valley,['lech' 'valley']
alteration of amount,['alter']
altered fire regimes,['alter' 'regim']
altered rainfall pattern,['alter' 'pattern' 'rainfal']
alternative authorities,['altern' 'author']
alternative energy,['altern']
alternative fuels,['altern' 'fuel']
alternative future scenarios,['altern' 'futur' 'scenario']
alternative futures analysis,['altern' 'futur']
alternative interventions,['altern' 'intervent']
alternative livelihood strategies,['altern' 'livelihood' 'strategi']
alternative livestock breeds,['altern' 'breed' 'livestock']
alternative scenarios,['altern' 'scenario']
alternative sewage treatment technologies,['altern' 'sewag' 'technolog' 'treatment']
alternatives to deforestation and burnt projects,['altern' 'burnt' 'deforest' 'project']
amazonia forest dieback,['amazonia' 'dieback' 'forest']
ambient air quality,['air' 'ambient']
ambient air temperature,['air' 'ambient']
ambient pollutants,['ambient' 'pollut']
ambient temperature,['ambient']
ambiguity,['ambigu']
ameliorate,['amelior']
ameliorate effects,['amelior' 'effect']
ameliorated climate impacts,['amelior' 'climat' 'impact']
american leadership,['leadership']
american settlement process,['process' 'settlement']
ammonia,['ammonia']
amplified warming,['amplifi' 'warm']
analogue,['analogu']
analogue method,['analogu' 'method']
analogue scheme,['analogu' 'scheme']
analysis of impacts and vulnerabilities,['impact' 'vulner']
analysis techniques,['techniqu']
analysts,['analyst']
analytic hierarchy process,['analyt' 'hierarchi' 'process']
analytic hierarchy process ahp,['ahp' 'analyt' 'hierarchi' 'process']
analytic hierarchy processes,['analyt' 'hierarchi' 'process']
analytical approach,['analyt' 'approach']
analytical approaches,['analyt' 'approach']
analytical distinctions,['analyt' 'distinct']
analytical framework,['analyt' 'framework']
analytical hierarchy process,['analyt' 'hierarchi' 'process']
analytical hierarchy processes,['analyt' 'hierarchi' 'process']
analytical solution,['analyt']
analyzing ensembles,['analyz' 'ensembl']
ancestral knowledge,['ancestr']
ancient civilizations,['ancient' 'civil']
and biophysical models,['model']
and environmental criteria,['criteria' 'environment']
andhra pradesh,['andhra' 'pradesh']
animal based foods,['anim' 'base' 'food']
animal feed,['anim' 'feed']
animal health,['anim' 'health']
animal liveweight gain,['anim' 'gain' 'liveweight']
animal physiology,['anim' 'physiolog']
animal production,['anim' 'product']
animal productivity,['anim' 'product']
animal source food,['anim' 'food' 'sourc']
animal welfare,['anim' 'welfar']
animals,['anim']
animations,['anim']
annual 90th percentile,['percentil']
annual adaptation costs,['adapt' 'cost']
annual average flood damage,['flood']
annual crops,['crop']
annual cycle of precipitation,['precipit']
annual expected loss,['expect' 'loss']
annual flood pulse,['flood']
annual maxima,['maxima']
annual maximum,['maximum']
annual maximum streamflow,['maximum' 'streamflow']
annual precipitation,['precipit']
annual rainfall,['rainfal']
annual revenue,['revenu']
annual wholesale electricity prices,['price' 'wholesal']
anomalous subsidence,['subsid']
anova test,['test']
antenatal care,['care']
anthropic pressures,['pressur']
anthropocene,['anthropocen']
anthropogenic actions,['action']
anthropogenic activities,['activ']
anthropogenic activity,['activ']
anthropogenic carbon emissions,['carbon']
anthropogenic climate change,['climat']
anthropogenic climate impact,['climat' 'impact']
anthropogenic conditions,['condit']
anthropogenic disturbances,['disturb']
anthropogenic drivers,['driver']
anthropogenic environmental change,['environment']
anthropogenic factors,['factor']
anthropogenic forced effect,['effect']
anthropogenic forced signal,['signal']
anthropogenic global environmental change,['environment' 'global']
anthropogenic global warming,['global' 'warm']
anthropogenic global warming agw,['agw' 'global' 'warm']
anthropogenic greenhouse gas emissions,['gas' 'greenhous']
anthropogenic greenhouse gases,['gase' 'greenhous']
anthropogenic hazards,['hazard']
anthropogenic heat,['heat']
anthropogenic heating,['heat']
anthropogenic impact,['impact']
anthropogenic impurities,['impur']
anthropogenic influence,['influenc']
anthropogenic interference,['interfer']
anthropogenic perturbations,['perturb']
anthropogenic pressure,['pressur']
anthropogenic stresses,['stress']
anthropogenic transformations,['transform']
anthropogenic volatile organic compounds,['compound' 'organ' 'volatil']
anthropogenic warming,['warm']
anthropogenic water use,['use' 'water']
anthropologically induced climate change,['climat' 'induc']
anticipating us droughts,['anticip' 'drought']
anticipation,['anticip']
anticipative disaster response management,['anticip' 'manag' 'respons']
anticipatory adaptation,['adapt']
anticipatory adaptation planning,['adapt' 'plan']
anticipatory governance,['govern']
anticipatory planning,['plan']
anticipatory strategies,['strategi']
antimicrobial resistance,['antimicrobi' 'resist']
aock concept,['aock' 'concept']
aotearoa new zealand,['new']
apennines,['apennin']
appalachia,['appalachia']
application,['applic']
applications,['applic']
applied mathematics,['appli' 'mathemat']
applied science,['appli' 'scienc']
applying,['appli']
approaches,['approach']
approximate dynamic programming,['program']
approximate dynamic programming algorithm,['algorithm' 'program']
approximation methods,['method']
apsim,['apsim']
apsim farming systems model,['apsim' 'farm' 'model' 'system']
apsim v75,['apsim']
apsim wheat model,['apsim' 'model' 'wheat']
aquacrop yield simulation model,['model' 'simul' 'yield']
aquaculture,['aquacultur']
aquaculture management areas,['aquacultur' 'area' 'manag']
aquatic ecosystem protection,['aquat' 'ecosystem' 'protect']
aquatic ecosystems,['aquat' 'ecosystem']
aquatic eutrophication,['aquat']
aquatic invertebrate communities,['aquat' 'communiti' 'invertebr']
aquifer characteristics,['aquif']
aquifer contract,['aquif' 'contract']
aquifer hydraulic conductivity,['aquif' 'conduct' 'hydraul']
aquifer recharge,['aquif']
aquifer storage,['aquif' 'storag']
aquifer thickness,['aquif' 'thick']
aquifers,['aquif']
aquitaine region,['aquitain' 'region']
ar category scale,['scale']
ar4 sres a2a scenario,['scenario']
ar5 general circulation models,['general' 'model']
arabica coffee,['coffe']
arable crops,['arabl' 'crop']
arable farming,['arabl' 'farm']
arable farms,['arabl' 'farm']
arable gross margin,['arabl' 'gross' 'margin']
aral sea,['aral' 'sea']
aral sea basin,['aral' 'basin' 'sea']
archival research,['research']
arcswat,['arcswat']
arctic indigenous peoples,['peopl']
arctic ocean temperatures,['ocean']
arctic oil and gas,['gas' 'oil']
arctic sea ice,['ice' 'sea']
arctic sea ice decline,['declin' 'ice' 'sea']
arctic zone of russia,['zone']
area,['area']
area based adaptation,['adapt' 'area' 'base']
area cultivated,['area']
area remediation,['area' 'remedi']
area response,['area' 'respons']
areas of application,['applic' 'area']
arequipa,['arequipa']
arid,['arid']
arid american west,['arid' 'west']
arid and semi arid areas,['area' 'arid' 'semi']
arid climate,['arid' 'climat']
arid rangelands,['arid' 'rangeland']
arid region,['arid' 'region']
arid regions,['arid' 'region']
aridity,['arid']
arizona crop budgets,['budget' 'crop']
arkstorm,['arkstorm']
armington model,['armington' 'model']
artificial intelligence,['artifici']
artificial intelligence initiative,['artifici']
artificial neural network,['artifici' 'network' 'neural']
artificial neural network ann,['artifici' 'network' 'neural']
artificial neural networks,['artifici' 'network' 'neural']
artificial neural networks ann,['artifici' 'network' 'neural']
artificial protections,['artifici' 'protect']
arts,['art']
arts and humanities,['art' 'human']
arun river,['arun' 'river']
ascr,['ascr']
asia pacific region,['pacif' 'region']
asian highlands,['highland']
asian monsoon,['monsoon']
asian nations,['nation']
asian region,['region']
asian river basins,['basin' 'river']
aspirations,['aspir']
assess incorporation,['assess' 'incorpor']
assessing,['assess']
assessment,['assess']
assessment approaches,['approach' 'assess']
assessment exercises,['assess' 'exercis']
assessment framework,['assess' 'framework']
assessment frameworks,['assess' 'framework']
assessment guidelines,['assess']
assessment methods,['assess' 'method']
assessment of policy effectiveness,['assess' 'effect' 'polici']
assessment process,['assess' 'process']
assessment strategy,['assess' 'strategi']
assessment tool,['assess' 'tool']
assessments,['assess']
asset at risk inventory,['asset' 'inventori' 'risk']
asset bubbles,['asset' 'bubbl']
asset classes,['asset' 'class']
asset depletion,['asset' 'deplet']
asset management,['asset' 'manag']
asset managers,['asset' 'manag']
asset price collapse,['asset' 'collaps' 'price']
asset pricing model,['asset' 'model' 'price']
asset resilience,['asset' 'resili']
asset value,['asset' 'valu']
asset values,['asset' 'valu']
assets,['asset']
assets at risk,['asset' 'risk']
assets exposed to flooding,['asset' 'expos' 'flood']
assets exposure,['asset' 'exposur']
assimilation social model,['model' 'social']
